,c_dest,c_cit,weight,scaled,gdp_diff,dest_gdp,cit_gdp
97,Austria,Belgium,1880,0.00022097405835078598,3200.0,39000.0,35800.0
98,Austria,Bulgaria,15942,0.0018738129990575692,33100.0,39000.0,5900.0
99,Austria,Croatia,61959,0.007282623234764015,28700.0,39000.0,10300.0
100,Austria,Cyprus,148,1.7395830125487405e-05,18300.0,39000.0,20700.0
101,Austria,Czechia,10908,0.0012821196960055177,24100.0,39000.0,14900.0
102,Austria,Denmark,1051,0.00012353390176950854,-8100.0,39000.0,47100.0
103,Austria,Estonia,439,5.1599793412763324e-05,23800.0,39000.0,15200.0
104,Austria,Finland,1331,0.00015644493173664687,1400.0,39000.0,37600.0
105,Austria,France,7132,0.0008382909490201093,6600.0,39000.0,32400.0
106,Austria,Germany,164820,0.019372842711370502,2700.0,39000.0,36300.0
107,Austria,Greece,4472,0.0005256361643322952,22600.0,39000.0,16400.0
108,Austria,Hungary,46264,0.005437842465713171,28300.0,39000.0,10700.0
109,Austria,Iceland,180,2.115709069316036e-05,-1900.0,39000.0,40900.0
110,Austria,Ireland,1138,0.0001337598289378694,-3000.0,39000.0,42000.0
111,Austria,Italy,20195,0.0023737080363798527,12300.0,39000.0,26700.0
112,Austria,Latvia,1161,0.00013646323497088433,27200.0,39000.0,11800.0
113,Austria,Liechtenstein,382,4.490004802659587e-05,-94200.0,39000.0,133200.0
114,Austria,Lithuania,1175,0.00013810878646924123,26500.0,39000.0,12500.0
115,Austria,Luxembourg,714,8.392312641620276e-05,-50200.0,39000.0,89200.0
116,Austria,Malta,70,8.227757491784585e-06,19400.0,39000.0,19600.0
117,Austria,Netherlands,7824,0.0009196282087960369,-800.0,39000.0,39800.0
118,Austria,Norway,618,7.26393447131839e-05,-34300.0,39000.0,73300.0
119,Austria,Poland,50271,0.005908822812421469,28300.0,39000.0,10700.0
120,Austria,Portugal,2775,0.0003261718148528889,22400.0,39000.0,16600.0
121,Austria,Romania,59702,0.007017336825350332,31400.0,39000.0,7600.0
122,Austria,Slovakia,28612,0.0033630371050705787,25000.0,39000.0,14000.0
123,Austria,Slovenia,11289,0.0013269022046393738,20800.0,39000.0,18200.0
124,Austria,Spain,5289,0.0006216658482006952,16700.0,39000.0,22300.0
125,Austria,Sweden,2816,0.00033099092995521985,-5700.0,39000.0,44700.0
126,Austria,Switzerland,7515,0.000883308536439445,-26300.0,39000.0,65300.0
127,Austria,United Kingdom,9293,0.0010922935767307734,3600.0,39000.0,35400.0
160,Belgium,Austria,2721,0.00024336275270909878,-3200.0,35800.0,39000.0
162,Belgium,Bulgaria,25635,0.0022927615456441557,29900.0,35800.0,5900.0
163,Belgium,Croatia,1220,0.00010911523642230816,25500.0,35800.0,10300.0
164,Belgium,Cyprus,409,3.6580435816986915e-05,15100.0,35800.0,20700.0
165,Belgium,Czechia,3329,0.000297741493483495,20900.0,35800.0,14900.0
166,Belgium,Denmark,2774,0.00024810300478318265,-11300.0,35800.0,47100.0
167,Belgium,Estonia,970,8.675555682757288e-05,20600.0,35800.0,15200.0
168,Belgium,Finland,2857,0.0002555264184086348,-1800.0,35800.0,37600.0
169,Belgium,France,155889,0.013942512369374752,3400.0,35800.0,32400.0
170,Belgium,Germany,39440,0.0035274630528654375,-500.0,35800.0,36300.0
171,Belgium,Greece,15892,0.0014213601124781323,19400.0,35800.0,16400.0
172,Belgium,Hungary,5820,0.0005205333409654373,25100.0,35800.0,10700.0
173,Belgium,Iceland,255,2.2806873186629984e-05,-5100.0,35800.0,40900.0
174,Belgium,Ireland,4011,0.0003587386994179328,-6200.0,35800.0,42000.0
175,Belgium,Italy,156419,0.01398991489011559,9100.0,35800.0,26700.0
176,Belgium,Latvia,1708,0.00015276133099123142,24000.0,35800.0,11800.0
177,Belgium,Liechtenstein,9,8.0494846541047e-07,-97400.0,35800.0,133200.0
178,Belgium,Lithuania,2266,0.00020266813584668056,23300.0,35800.0,12500.0
179,Belgium,Luxembourg,4331,0.000387359089299194,-53400.0,35800.0,89200.0
180,Belgium,Malta,433,3.8726965058081505e-05,16200.0,35800.0,19600.0
181,Belgium,Netherlands,145950,0.013053580947406456,-4000.0,35800.0,39800.0
182,Belgium,Norway,1205,0.00010777365564662404,-37500.0,35800.0,73300.0
183,Belgium,Poland,64908,0.00580528833254031,25100.0,35800.0,10700.0
184,Belgium,Portugal,41095,0.0036754841317825854,19200.0,35800.0,16600.0
185,Belgium,Romania,56695,0.005070728138494067,28200.0,35800.0,7600.0
186,Belgium,Slovakia,5663,0.0005064914621799436,21800.0,35800.0,14000.0
187,Belgium,Slovenia,974,8.711331170108865e-05,17600.0,35800.0,18200.0
188,Belgium,Spain,57288,0.005123765298492779,13500.0,35800.0,22300.0
189,Belgium,Sweden,4093,0.000366072674325006,-8900.0,35800.0,44700.0
190,Belgium,Switzerland,2050,0.00018334937267682928,-29500.0,35800.0,65300.0
191,Belgium,United Kingdom,24105,0.0021559203065243757,400.0,35800.0,35400.0
192,Bulgaria,Austria,233,3.215710554031045e-05,-33100.0,5900.0,39000.0
193,Bulgaria,Belgium,171,2.360027917336089e-05,-29900.0,5900.0,35800.0
195,Bulgaria,Croatia,51,7.0386797534585106e-06,-4400.0,5900.0,10300.0
196,Bulgaria,Cyprus,141,1.9459879318385294e-05,-14800.0,5900.0,20700.0
197,Bulgaria,Czechia,371,5.1202944873198186e-05,-9000.0,5900.0,14900.0
198,Bulgaria,Denmark,83,1.1455106265432478e-05,-41200.0,5900.0,47100.0
199,Bulgaria,Estonia,48,6.624639767960951e-06,-9300.0,5900.0,15200.0
200,Bulgaria,Finland,58,8.004773052952816e-06,-31700.0,5900.0,37600.0
201,Bulgaria,France,427,5.8931691269152626e-05,-26500.0,5900.0,32400.0
202,Bulgaria,Germany,1167,0.00016106155435855062,-30400.0,5900.0,36300.0
203,Bulgaria,Greece,2315,0.0003195008554756167,-10500.0,5900.0,16400.0
204,Bulgaria,Hungary,148,2.04259726178796e-05,-4800.0,5900.0,10700.0
205,Bulgaria,Iceland,11,1.5181466134910514e-06,-35000.0,5900.0,40900.0
206,Bulgaria,Ireland,101,1.3939346178417834e-05,-36100.0,5900.0,42000.0
207,Bulgaria,Italy,767,0.00010585622295887604,-20800.0,5900.0,26700.0
208,Bulgaria,Latvia,87,1.2007159579429224e-05,-5900.0,5900.0,11800.0
209,Bulgaria,Liechtenstein,0,0.0,-127300.0,5900.0,133200.0
210,Bulgaria,Lithuania,82,1.131709293693329e-05,-6600.0,5900.0,12500.0
211,Bulgaria,Luxembourg,4,5.520533139967459e-07,-83300.0,5900.0,89200.0
212,Bulgaria,Malta,13,1.7941732704894242e-06,-13700.0,5900.0,19600.0
213,Bulgaria,Netherlands,309,4.264611850624862e-05,-33900.0,5900.0,39800.0
214,Bulgaria,Norway,52,7.176693081957697e-06,-67400.0,5900.0,73300.0
215,Bulgaria,Poland,997,0.00013759928851368893,-4800.0,5900.0,10700.0
216,Bulgaria,Portugal,45,6.210599782463392e-06,-10700.0,5900.0,16600.0
217,Bulgaria,Romania,483,6.666043766510707e-05,-1700.0,5900.0,7600.0
218,Bulgaria,Slovakia,191,2.6360545743344618e-05,-8100.0,5900.0,14000.0
219,Bulgaria,Slovenia,41,5.658546468466645e-06,-12300.0,5900.0,18200.0
220,Bulgaria,Spain,216,2.981087895582428e-05,-16400.0,5900.0,22300.0
221,Bulgaria,Sweden,95,1.3111266207422715e-05,-38800.0,5900.0,44700.0
222,Bulgaria,Switzerland,89,1.2283186236427597e-05,-59400.0,5900.0,65300.0
223,Bulgaria,United Kingdom,3495,0.00048235658310465676,-29500.0,5900.0,35400.0
288,Czechia,Austria,3404,0.0003238074890279773,-24100.0,14900.0,39000.0
289,Czechia,Belgium,601,5.7170476176796225e-05,-20900.0,14900.0,35800.0
290,Czechia,Bulgaria,9144,0.0008698283430293255,9000.0,14900.0,5900.0
291,Czechia,Croatia,2567,0.00024418737495147404,4600.0,14900.0,10300.0
292,Czechia,Cyprus,95,9.036930510475277e-06,-5800.0,14900.0,20700.0
294,Czechia,Denmark,324,3.0820689319936736e-05,-32200.0,14900.0,47100.0
295,Czechia,Estonia,141,1.3412707389231726e-05,-300.0,14900.0,15200.0
296,Czechia,Finland,285,2.7110791531425832e-05,-22700.0,14900.0,37600.0
297,Czechia,France,3027,0.0002879451437390386,-17500.0,14900.0,32400.0
298,Czechia,Germany,18552,0.0017647698403193404,-21400.0,14900.0,36300.0
299,Czechia,Greece,1092,0.0001038771380783053,-1500.0,14900.0,16400.0
300,Czechia,Hungary,1522,0.00014478113933624601,4200.0,14900.0,10700.0
301,Czechia,Iceland,32,3.0440186982653566e-06,-26000.0,14900.0,40900.0
302,Czechia,Ireland,685,6.516102525974279e-05,-27100.0,14900.0,42000.0
303,Czechia,Italy,3503,0.00033322492187573576,-11800.0,14900.0,26700.0
304,Czechia,Latvia,357,3.3959833602522884e-05,3100.0,14900.0,11800.0
305,Czechia,Liechtenstein,1,9.51255843207924e-08,-118300.0,14900.0,133200.0
306,Czechia,Lithuania,606,5.7646104098400185e-05,2400.0,14900.0,12500.0
307,Czechia,Luxembourg,23,2.187888439378225e-06,-74300.0,14900.0,89200.0
308,Czechia,Malta,24,2.2830140236990175e-06,-4700.0,14900.0,19600.0
309,Czechia,Netherlands,2874,0.0002733909293379573,-24900.0,14900.0,39800.0
310,Czechia,Norway,206,1.959587037008323e-05,-58400.0,14900.0,73300.0
311,Czechia,Poland,19455,0.0018506682429610159,4200.0,14900.0,10700.0
312,Czechia,Portugal,309,2.9393805555124848e-05,-1700.0,14900.0,16600.0
313,Czechia,Romania,6227,0.0005923470135655742,7300.0,14900.0,7600.0
314,Czechia,Slovakia,91032,0.008659472191890373,900.0,14900.0,14000.0
315,Czechia,Slovenia,342,3.2532949837711e-05,-3300.0,14900.0,18200.0
316,Czechia,Spain,982,9.341332380301813e-05,-7400.0,14900.0,22300.0
317,Czechia,Sweden,729,6.934655096985765e-05,-29800.0,14900.0,44700.0
318,Czechia,Switzerland,556,5.2889824882360566e-05,-50400.0,14900.0,65300.0
319,Czechia,United Kingdom,5377,0.0005114902668929007,-20500.0,14900.0,35400.0
320,Denmark,Austria,1284,0.00022817600473411899,8100.0,47100.0,39000.0
321,Denmark,Belgium,1025,0.0001821498480159439,11300.0,47100.0,35800.0
322,Denmark,Bulgaria,6090,0.0010822366579679007,41200.0,47100.0,5900.0
323,Denmark,Croatia,640,0.0001137325880294674,36800.0,47100.0,10300.0
324,Denmark,Cyprus,65,1.1550965971742783e-05,26400.0,47100.0,20700.0
325,Denmark,Czechia,966,0.00017166512505697735,32200.0,47100.0,14900.0
327,Denmark,Estonia,1402,0.000249145450652052,31900.0,47100.0,15200.0
328,Denmark,Finland,2483,0.00044124690012057433,9500.0,47100.0,37600.0
329,Denmark,France,5775,0.0010262588997971473,14700.0,47100.0,32400.0
330,Denmark,Germany,22707,0.004035196681851744,10800.0,47100.0,36300.0
331,Denmark,Greece,1848,0.0003284028479350871,30700.0,47100.0,16400.0
