,Country,cent_1998,cent_1999,cent_2000,cent_2001,cent_2002,cent_2003,cent_2004,cent_2005,cent_2006,cent_2007,cent_2008,cent_2009,cent_2010,cent_2011,cent_2012,cent_2013,cent_2014,cent_2015,cent_2016,cent_2017
0,Austria,6.554615648997795e-08,1.3598389865510236e-05,1.0935391922710517e-09,0.0826580031155789,0.09162006957948277,0.05767550680271892,0.12950628486936905,0.11503694902252416,0.20847742895940025,0.15718239702326356,0.10902684820730692,0.03821330686673085,1.4100922839234323e-06,2.4600292296333456e-07,0.039055177021979366,0.04145079635244874,0.043337534814482395,0.04573382008930991,0.0513401692158125,0.05407319097571997
1,Belgium,0.18045905114517094,0.5276422005730179,0.29333336350322836,0.12781946845632364,0.1401958390384684,0.1494119669658445,3.8114963931832555e-09,1.6507193750195815e-08,6.446997394712681e-09,8.301000068063318e-07,0.13370951906715542,0.041545446884001684,0.05213899381183052,0.0668509487170417,0.03523542860777242,0.036291352610724734,0.04949297144259148,0.05120630997071059,0.05809021002508039,0.06513941707318598
2,Bulgaria,6.554615648997795e-08,1.3598389865510236e-05,1.0935391922710517e-09,2.73355940273727e-07,1.588462331661063e-07,3.605421155778979e-07,3.8114963931832555e-09,1.6507193750195815e-08,6.446997394712681e-09,8.301000068063318e-07,0.001529700770570444,0.000972712155590735,0.0012348583085897873,0.0018690531764455857,0.0005745500400507808,0.0008460421658735542,0.0010232206845556355,0.0011861054803128154,0.001446710561538334,0.001939682816270289
3,Croatia,6.554615648997795e-08,1.3598389865510236e-05,1.0935391922710517e-09,2.73355940273727e-07,1.588462331661063e-07,3.605421155778979e-07,3.8114963931832555e-09,1.6507193750195815e-08,6.446997394712681e-09,8.301000068063318e-07,2.0107197855692122e-06,7.155256761217766e-06,1.4100922839234323e-06,2.4600292296333456e-07,3.214598876006249e-06,3.3104345778392378e-06,3.231321956623454e-06,3.1091204582065336e-06,0.0022951321678320886,0.002772212246438594
4,Cyprus,6.554615648997795e-08,1.3598389865510236e-05,1.0935391922710517e-09,2.73355940273727e-07,1.588462331661063e-07,3.605421155778979e-07,3.8114963931832555e-09,1.6507193750195815e-08,6.446997394712681e-09,8.301000068063318e-07,2.0107197855692122e-06,7.155256761217766e-06,1.4100922839234323e-06,2.4600292296333456e-07,3.214598876006249e-06,3.3104345778392378e-06,3.231321956623454e-06,3.1091204582065336e-06,1.583990485048482e-06,2.2968435265419227e-06
5,Czechia,6.554615648997795e-08,1.3598389865510236e-05,0.01581739990503436,0.006484398193115361,0.006080359051461908,0.004244490335222218,0.011266200421967649,0.010592830784765228,0.022787876844878863,0.02107769255462334,0.0181539579524033,0.007878413109903124,0.007294260037028326,0.007416378433857427,0.007253625741248479,0.00789555140243466,0.007727773497036445,0.008402176947805092,0.008934513826344564,0.010039494896729824
6,Denmark,0.10776037755548885,0.1347999535266731,0.3099400447365814,0.08786478621495723,0.09156954059266284,0.05276301360060966,0.14992825062040457,0.12062736154780627,0.20689383680434817,0.09952544882043834,0.0754400185717197,0.02662850592963423,0.038441835991188125,0.05057876818675733,0.026835627669079796,0.027564045155047137,0.027796268393057356,0.02948150563563718,0.02950897629234008,0.033575534164191824
7,Estonia,6.554615648997795e-08,1.3598389865510236e-05,0.015727643827278523,2.73355940273727e-07,1.588462331661063e-07,3.605421155778979e-07,3.8114963931832555e-09,1.6507193750195815e-08,6.446997394712681e-09,8.301000068063318e-07,2.0107197855692122e-06,7.155256761217766e-06,1.4100922839234323e-06,2.4600292296333456e-07,3.214598876006249e-06,0.002940388215873602,0.0029915918416564074,0.006606454408913103,0.006849420778602784,0.00799767678202213
8,Finland,0.03233439233050194,0.04340088136534395,0.09708642317658109,0.024737036568125814,0.027082737291114052,0.0139880715873364,0.040741280066821144,0.03283525925620231,0.06170896177619209,0.031024856688937175,0.02014771420042656,0.007495864581911536,0.010139785484972417,0.01387976736460282,0.006992935236200703,0.008612700345176635,0.008683109424510602,0.010858422414474357,0.010445121146796035,0.011714834357787047
9,France,6.554615648997795e-08,0.18588310552873924,1.0935391922710517e-09,2.73355940273727e-07,1.588462331661063e-07,0.05494871827090072,3.8114963931832555e-09,0.08190003081797576,6.446997394712681e-09,8.301000068063318e-07,2.0107197855692122e-06,7.155256761217766e-06,1.4100922839234323e-06,2.4600292296333456e-07,3.214598876006249e-06,3.3104345778392378e-06,0.01537705844986089,0.01619795536670594,0.018045194115965564,0.02256348619619644
