"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"1991","Belgium","Total","Total","Number","9,986,975",""
"1991","Bulgaria","Total","Total","Number","8,669,269",""
"1991","Czechia","Total","Total","Number","10,304,607",""
"1991","Denmark","Total","Total","Number","5,146,469",""
"1991","Germany (until 1990 former territory of the FRG)","Total","Total","Number","79,753,227",""
"1991","Estonia","Total","Total","Number","1,567,749",""
"1991","Ireland","Total","Total","Number","3,520,977",""
"1991","Greece","Total","Total","Number","10,272,691",""
"1991","Spain","Total","Total","Number","38,881,416",""
"1991","France","Total","Total","Number","58,313,439",""
"1991","Croatia","Total","Total","Number","4,782,179","e"
"1991","Italy","Total","Total","Number","56,744,119",""
"1991","Cyprus","Total","Total","Number","587,141",""
"1991","Latvia","Total","Total","Number","2,658,161",""
"1991","Lithuania","Total","Total","Number","3,701,968",""
"1991","Luxembourg","Total","Total","Number","384,400",""
"1991","Hungary","Total","Total","Number","10,373,153",""
"1991","Malta","Total","Total","Number","361,908","b"
"1991","Netherlands","Total","Total","Number","15,010,445",""
"1991","Austria","Total","Total","Number","7,710,882",""
"1991","Poland","Total","Total","Number","38,183,160",""
"1991","Portugal","Total","Total","Number","9,970,441",""
"1991","Romania","Total","Total","Number","23,192,274",""
"1991","Slovenia","Total","Total","Number","1,999,945",""
"1991","Slovakia","Total","Total","Number","5,310,711",""
"1991","Finland","Total","Total","Number","4,998,478",""
"1991","Sweden","Total","Total","Number","8,590,630",""
"1991","United Kingdom","Total","Total","Number","57,338,199",""
"1991","Iceland","Total","Total","Number","255,866",""
"1991","Liechtenstein","Total","Total","Number","29,032",""
"1991","Norway","Total","Total","Number","4,249,830",""
"1991","Switzerland","Total","Total","Number","6,757,188",""
"1992","Belgium","Total","Total","Number","10,021,997",""
"1992","Bulgaria","Total","Total","Number","8,595,465",""
"1992","Czechia","Total","Total","Number","10,312,548",""
"1992","Denmark","Total","Total","Number","5,162,126",""
"1992","Germany (until 1990 former territory of the FRG)","Total","Total","Number","80,274,564",""
"1992","Estonia","Total","Total","Number","1,554,878",""
"1992","Ireland","Total","Total","Number","3,547,492",""
"1992","Greece","Total","Total","Number","10,367,163",""
"1992","Spain","Total","Total","Number","39,051,336",""
"1992","France","Total","Total","Number","58,604,851",""
"1992","Croatia","Total","Total","Number","4,595,866","e"
"1992","Italy","Total","Total","Number","56,772,923",""
"1992","Cyprus","Total","Total","Number","603,069",""
"1992","Latvia","Total","Total","Number","2,643,000",""
"1992","Lithuania","Total","Total","Number","3,706,299",""
"1992","Luxembourg","Total","Total","Number","389,600",""
"1992","Hungary","Total","Total","Number","10,373,647",""
"1992","Malta","Total","Total","Number","365,781",""
"1992","Netherlands","Total","Total","Number","15,129,150",""
"1992","Austria","Total","Total","Number","7,798,899",""
"1992","Poland","Total","Total","Number","38,309,226",""
"1992","Portugal","Total","Total","Number","9,950,029",""
"1992","Romania","Total","Total","Number","22,810,035",""
"1992","Slovenia","Total","Total","Number","1,998,912",""
"1992","Slovakia","Total","Total","Number","5,295,877",""
"1992","Finland","Total","Total","Number","5,029,002",""
"1992","Sweden","Total","Total","Number","8,644,120",""
"1992","United Kingdom","Total","Total","Number","57,511,594",""
"1992","Iceland","Total","Total","Number","259,727",""
"1992","Liechtenstein","Total","Total","Number","29,386",""
"1992","Norway","Total","Total","Number","4,273,634",""
"1992","Switzerland","Total","Total","Number","6,842,768",""
"1993","Belgium","Total","Total","Number","10,068,319",""
"1993","Bulgaria","Total","Total","Number","8,484,863",""
"1993","Czechia","Total","Total","Number","10,325,697",""
"1993","Denmark","Total","Total","Number","5,180,614",""
"1993","Germany (until 1990 former territory of the FRG)","Total","Total","Number","80,974,632",""
"1993","Estonia","Total","Total","Number","1,511,303",""
"1993","Ireland","Total","Total","Number","3,569,367",""
"1993","Greece","Total","Total","Number","10,430,958",""
"1993","Spain","Total","Total","Number","39,264,034",""
"1993","France","Total","Total","Number","58,885,929",""
"1993","Croatia","Total","Total","Number","4,555,771","e"
"1993","Italy","Total","Total","Number","56,821,250",""
"1993","Cyprus","Total","Total","Number","619,231",""
"1993","Latvia","Total","Total","Number","2,585,675",""
"1993","Lithuania","Total","Total","Number","3,693,929",""
"1993","Luxembourg","Total","Total","Number","394,750",""
"1993","Hungary","Total","Total","Number","10,365,035",""
"1993","Malta","Total","Total","Number","369,455",""
"1993","Netherlands","Total","Total","Number","15,239,182",""
"1993","Austria","Total","Total","Number","7,882,519",""
"1993","Poland","Total","Total","Number","38,418,108",""
"1993","Portugal","Total","Total","Number","9,954,958",""
"1993","Romania","Total","Total","Number","22,778,533",""
"1993","Slovenia","Total","Total","Number","1,994,084",""
"1993","Slovakia","Total","Total","Number","5,314,155",""
"1993","Finland","Total","Total","Number","5,054,982",""
"1993","Sweden","Total","Total","Number","8,692,013",""
"1993","United Kingdom","Total","Total","Number","57,649,210",""
"1993","Iceland","Total","Total","Number","262,386",""
"1993","Liechtenstein","Total","Total","Number","29,868",""
"1993","Norway","Total","Total","Number","4,299,167",""
"1993","Switzerland","Total","Total","Number","6,907,959",""
"1994","Belgium","Total","Total","Number","10,100,631",""
"1994","Bulgaria","Total","Total","Number","8,459,763",""
"1994","Czechia","Total","Total","Number","10,334,013",""
"1994","Denmark","Total","Total","Number","5,196,642",""
"1994","Germany (until 1990 former territory of the FRG)","Total","Total","Number","81,338,093",""
"1994","Estonia","Total","Total","Number","1,476,952",""
"1994","Ireland","Total","Total","Number","3,583,154",""
