"TIME","GEO","AGE","AGEDEF","C_BIRTH","UNIT","SEX","Value","Flag and Footnotes"
"2008","Belgium","Total","Age reached during the year","Total","Number","Total",":",""
"2008","Belgium","Total","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Belgium","Total","Age reached during the year","EU28 countries except reporting country","Number","Total",":",""
"2008","Belgium","Total","Age reached during the year","Non-EU28 countries nor reporting country","Number","Total",":",""
"2008","Belgium","Total","Age reached during the year","Unknown","Number","Total",":",""
"2008","Bulgaria","Total","Age reached during the year","Total","Number","Total",":",""
"2008","Bulgaria","Total","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Bulgaria","Total","Age reached during the year","EU28 countries except reporting country","Number","Total",":",""
"2008","Bulgaria","Total","Age reached during the year","Non-EU28 countries nor reporting country","Number","Total",":",""
"2008","Bulgaria","Total","Age reached during the year","Unknown","Number","Total",":",""
"2008","Czechia","Total","Age reached during the year","Total","Number","Total","108,267",""
"2008","Czechia","Total","Age reached during the year","Reporting country","Number","Total","26,728",""
"2008","Czechia","Total","Age reached during the year","EU28 countries except reporting country","Number","Total",":",""
"2008","Czechia","Total","Age reached during the year","Non-EU28 countries nor reporting country","Number","Total",":",""
"2008","Czechia","Total","Age reached during the year","Unknown","Number","Total","0",""
"2008","Denmark","Total","Age reached during the year","Total","Number","Total","57,357",""
"2008","Denmark","Total","Age reached during the year","Reporting country","Number","Total","15,417",""
"2008","Denmark","Total","Age reached during the year","EU28 countries except reporting country","Number","Total",":",""
"2008","Denmark","Total","Age reached during the year","Non-EU28 countries nor reporting country","Number","Total",":",""
"2008","Denmark","Total","Age reached during the year","Unknown","Number","Total","572",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Total","Number","Total","682,146",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Reporting country","Number","Total","89,021",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","EU28 countries except reporting country","Number","Total",":",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Non-EU28 countries nor reporting country","Number","Total",":",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Unknown","Number","Total","13,701",""
"2008","Estonia","Total","Age reached during the year","Total","Number","Total","3,671",""
"2008","Estonia","Total","Age reached during the year","Reporting country","Number","Total","1,185",""
"2008","Estonia","Total","Age reached during the year","EU28 countries except reporting country","Number","Total",":",""
"2008","Estonia","Total","Age reached during the year","Non-EU28 countries nor reporting country","Number","Total",":",""
"2008","Estonia","Total","Age reached during the year","Unknown","Number","Total","80",""
"2008","Ireland","Total","Age reached during the year","Total","Number","Total","82,592",""
"2008","Ireland","Total","Age reached during the year","Reporting country","Number","Total","20,681",""
"2008","Ireland","Total","Age reached during the year","EU28 countries except reporting country","Number","Total",":",""
"2008","Ireland","Total","Age reached during the year","Non-EU28 countries nor reporting country","Number","Total",":",""
"2008","Ireland","Total","Age reached during the year","Unknown","Number","Total","0",""
"2008","Greece","Total","Age reached during the year","Total","Number","Total","66,529","b"
"2008","Greece","Total","Age reached during the year","Reporting country","Number","Total","17,350",""
"2008","Greece","Total","Age reached during the year","EU28 countries except reporting country","Number","Total",":",""
"2008","Greece","Total","Age reached during the year","Non-EU28 countries nor reporting country","Number","Total",":",""
"2008","Greece","Total","Age reached during the year","Unknown","Number","Total","0",""
"2008","Spain","Total","Age reached during the year","Total","Number","Total","599,075","b"
"2008","Spain","Total","Age reached during the year","Reporting country","Number","Total","21,094",""
"2008","Spain","Total","Age reached during the year","EU28 countries except reporting country","Number","Total",":",""
"2008","Spain","Total","Age reached during the year","Non-EU28 countries nor reporting country","Number","Total",":",""
"2008","Spain","Total","Age reached during the year","Unknown","Number","Total","0",""
"2008","France","Total","Age reached during the year","Total","Number","Total","296,608",""
"2008","France","Total","Age reached during the year","Reporting country","Number","Total","78,041",""
